,date,account_value
0,2019-01-02,10000.0
1,2019-01-03,9967.7905
2,2019-01-04,10008.4102
3,2019-01-07,10159.008077936753
4,2019-01-08,10192.515517844651
5,2019-01-09,10278.694533241625
6,2019-01-10,10238.5910362072
7,2019-01-11,10232.262883250749
8,2019-01-14,10263.592240283524
9,2019-01-15,10316.799697316303
10,2019-01-16,10254.646779672625
11,2019-01-17,10122.335809228898
12,2019-01-18,10122.335809228898
13,2019-01-21,10202.911171572283
14,2019-01-22,10163.740494634172
15,2019-01-23,10163.740494634172
16,2019-01-24,10177.302589438554
17,2019-01-25,10167.099225501413
18,2019-01-28,10093.131819704678
19,2019-01-29,10188.864400766994
20,2019-01-30,10299.407025803066
21,2019-01-31,10293.04562656439
22,2019-02-01,10183.41916479411
23,2019-02-11,10326.57719448711
24,2019-02-12,10281.43075066425
25,2019-02-13,10430.550144461293
26,2019-02-14,10378.825817694815
27,2019-02-15,10364.060645160376
28,2019-02-18,10437.468658994758
29,2019-02-19,10562.028868642707
30,2019-02-20,10582.53986256063
31,2019-02-21,10570.501552396563
32,2019-02-22,10631.998445531633
33,2019-02-25,10698.851977392747
34,2019-02-26,10621.516842712344
35,2019-02-27,10714.151252994165
36,2019-02-28,10409.62914314767
37,2019-03-01,10509.133057269799
38,2019-03-04,10707.133627248515
39,2019-03-05,10696.559421861399
40,2019-03-06,10722.3330572698
41,2019-03-07,10848.86228149389
42,2019-03-08,10746.640724389918
43,2019-03-11,10759.323985732539
44,2019-03-12,10750.610336732752
45,2019-03-13,10725.41383673275
46,2019-03-14,10729.239136732753
47,2019-03-15,10671.260836732752
48,2019-03-18,10725.323233732754
49,2019-03-19,10635.27816331595
50,2019-03-20,10562.605290895328
51,2019-03-21,10287.204938931522
52,2019-03-22,10425.422361640985
53,2019-03-25,10129.622361640986
54,2019-03-26,10150.059597510859
55,2019-03-27,10181.691279715556
56,2019-03-28,10210.023038157946
57,2019-03-29,10251.413895579823
58,2019-04-01,10301.74639716647
59,2019-04-02,10278.107887353084
60,2019-04-03,10262.12209570193
61,2019-04-04,10301.959506498286
62,2019-04-05,10298.467906498287
63,2019-04-08,10295.353316025417
64,2019-04-09,10214.920586531705
65,2019-04-10,10125.642601321684
66,2019-04-11,10228.888249061796
67,2019-04-12,10197.722328511183
68,2019-04-16,10181.96998580122
69,2019-04-17,10171.79098580122
70,2019-04-18,10168.248285801223
71,2019-04-19,10157.505585801222
72,2019-04-22,10068.993149516156
73,2019-04-23,10065.494349516157
74,2019-04-24,10165.568734721615
75,2019-04-25,10215.504183127088
76,2019-04-26,10313.472833948455
77,2019-05-02,10318.760184471434
78,2019-05-03,10265.916918949531
79,2019-05-06,10166.011390905023
80,2019-05-07,10301.450490905023
81,2019-05-08,10287.966258905024
82,2019-05-09,10140.372253601978
83,2019-05-10,10164.233191752766
84,2019-05-13,10182.717156116534
85,2019-05-14,10235.402722917439
86,2019-05-15,10241.312119607808
87,2019-05-16,10181.959126747397
88,2019-05-17,10214.732426747396
89,2019-05-20,10395.496506747397
90,2019-05-21,10484.265349836805
91,2019-05-22,10435.481782767745
92,2019-05-23,10486.015380888435
93,2019-05-24,10460.888507963631
94,2019-05-27,10410.860678666755
95,2019-05-28,10321.893411027595
96,2019-05-29,10219.033545820581
97,2019-05-30,10311.997702952538
98,2019-05-31,10227.55619554281
99,2019-06-03,10138.59224632156
100,2019-06-04,10113.300058430505
101,2019-06-05,10199.92392972262
102,2019-06-06,10242.208549649686
103,2019-06-07,10354.287019848225
104,2019-06-10,10387.268070019622
105,2019-06-11,10329.144193285412
106,2019-06-12,10271.399462105575
107,2019-06-13,10186.669822624319
108,2019-06-14,10148.890577348526
109,2019-06-17,10060.358342065607
110,2019-06-18,10053.540142065607
111,2019-06-19,10142.93361137427
112,2019-06-20,10309.5102800101
113,2019-06-21,10254.076473827841
114,2019-06-24,10352.648505041932
115,2019-06-25,10347.028140714761
116,2019-06-26,10348.20321554081
117,2019-06-27,10280.753344536324
118,2019-06-28,10293.430444536325
119,2019-07-01,10421.853627528793
120,2019-07-02,10384.874633383592
121,2019-07-03,10372.871533534928
122,2019-07-04,10393.520155571672
123,2019-07-05,10356.594355875612
124,2019-07-08,10299.485762420107
125,2019-07-09,10397.28785095105
126,2019-07-10,10458.140753776674
127,2019-07-11,10427.665546846041
128,2019-07-12,10394.665546846041
129,2019-07-15,10229.064913435664
130,2019-07-16,10296.1574761737
131,2019-07-17,10266.943260551752
132,2019-07-18,10221.884960551753
133,2019-07-19,10524.454078551755
134,2019-07-22,10554.141747169157
135,2019-07-23,10794.98126350552
136,2019-07-24,10784.1926317201
137,2019-07-25,10784.5074317201
138,2019-07-26,10804.9179317201
139,2019-07-29,10757.566741720098
140,2019-07-30,10579.47463016056
141,2019-07-31,10574.817764405449
142,2019-08-01,10775.615388327697
143,2019-08-02,10666.995747824767
144,2019-08-05,10672.638386661438
145,2019-08-06,10660.420286661438
146,2019-08-07,10722.481993658508
147,2019-08-08,10809.111267681945
148,2019-08-09,10870.93408823584
149,2019-08-12,11064.216241788086
150,2019-08-13,11104.031758380128
151,2019-08-14,11190.236922952272
152,2019-08-15,11357.013859361268
153,2019-08-16,11222.277451713471
154,2019-08-19,11303.585691723543
155,2019-08-20,11470.722506042268
156,2019-08-21,11545.278558708971
157,2019-08-22,11708.953825053348
158,2019-08-23,11815.747762233676
159,2019-08-26,11694.201362233676
160,2019-08-27,11495.728622233677
161,2019-08-28,11375.465552677739
162,2019-08-29,11473.625988422978
163,2019-08-30,11556.095689072048
164,2019-09-03,11504.201802085943
165,2019-09-04,11447.938923085943
166,2019-09-05,11410.694462085943
167,2019-09-06,11327.200502085941
168,2019-09-09,11466.656292085941
169,2019-09-10,11410.979330085942
170,2019-09-11,11364.434200085943
171,2019-09-12,11366.394987085941
172,2019-09-13,11371.254464718326
173,2019-09-16,11439.765576839909
174,2019-09-17,11417.943376839909
175,2019-09-18,11178.688307839908
176,2019-09-19,11303.022628598384
177,2019-09-20,11275.735632592374
178,2019-09-23,11074.232456383725
179,2019-09-24,11010.660207707455
180,2019-09-25,11120.347002710605
181,2019-09-26,11065.025201089697
182,2019-09-27,11135.284845997427
183,2019-09-30,11060.302027454643
184,2019-10-01,11060.05782893145
185,2019-10-02,10885.001546872123
186,2019-10-03,10884.953742872123
187,2019-10-04,10884.571938872123
188,2019-10-07,10792.986894104057
189,2019-10-08,10825.726495975945
190,2019-10-09,10870.127132963251
